map;date;time;player;cheated
A01;??/03/2013;0:22.78x;Guillaume;0
A01;??/03/2013;0:22.77x;RACETA;0
A01;??/03/2013;0:22.717;Kripke;0
A01;25/06/2013;0:22.621;riolu;0
A01;16/08/2013;0:22.590;Kripke;0
A01;??/??/2017;0:22.597;riolu;0
A01;19/11/2017;0:22.581;Kripke;0
A01;22/04/2019;0:22.578;riolu;1
A01;22/04/2019;0:22.561;riolu;1
A01;24/02/2020;0:22.576;Bluts;0
A01;05/03/2021;0:22.575;Bluts;0
A01;11/03/2021;0:22.571;Bluts;0
A01;19/01/2022;0:22.567;Bluts;0
A01;25/05/2023;0:22.564;Loupphok;0
A01;18/06/2023;0:22.562;Loupphok;0
A01;03/07/2023;0:22.554;Loupphok;0
A02;23/03/2013;0:22.667;riolu;0
A02;22/06/2013;0:22.593;riolu;0
A02;25/06/2013;0:22.577;Blizz;0
A02;10/08/2013;0:22.572;racehans;0
A02;14/08/2013;0:22.565;riolu;0
A02;09/01/2014;0:22.553;Demon;0
A02;29/08/2015;0:22.545;riolu;0
A02;09/05/2017;0:22.525;RotakeR;0
A02;16/05/2017;0:22.498;RotakeR;0
A02;02/11/2018;0:22.487;Kripke;0
A02;11/11/2018;0:22.477;RotakeR;0
A02;12/11/2018;0:22.460;RotakeR;0
A02;28/10/2020;0:22.457;MiThyX;0
A02;04/11/2020;0:22.455;Flechetas;0
A02;29/03/2021;0:22.453;ZedroX;0
A02;30/06/2021;0:22.452;ZedroX;0
A02;30/06/2021;0:22.450;ZedroX;0
A02;30/06/2021;0:22.447;ZedroX;0
A02;27/07/2021;0:22.443;ZedroX;0
A02;07/08/2021;0:22.435;ZedroX;0
A03;02/07/2013;0:10.713;Boerta;0
A03;05/09/2013;0:10.698;Netsky;0
A03;02/09/2015;0:10.693;Doc_Me4ik;0
A03;23/06/2016;0:10.648;Doc_Me4ik;0
A03;??/??/????;0:10.698;Doc_Me4ik;0
A03;02/05/2018;0:10.690;Trinity;0
A03;23/09/2018;0:10.688;Pieton;0
A03;05/01/2019;0:10.687;Camion;0
A03;20/04/2019;0:10.681;Camion;0
A03;29/05/2019;0:10.676;Pieton;0
A03;14/06/2019;0:10.671;riolu;1
A03;28/06/2019;0:10.668;riolu;1
A03;01/07/2019;0:10.658;Camion;0
A03;02/07/2019;0:10.651;riolu;1
A03;31/07/2019;0:10.646;Camion;0
A03;??/??/2019;0:10.643;riolu;1
A03;31/10/2019;0:10.642;Camion;0
A03;23/11/2020;0:10.635;riolu;1
A03;23/06/2021;0:10.631;Camion;0
A03;10/02/2022;0:10.621;Camion;0
A04;??/03/2013;0:23.29x;KarjeN;0
A04;27/06/2013;0:23.174;CarlJr;0
A04;17/07/2014;0:23.171;Karhu;0
A04;21/05/2016;0:23.133;the.Park;0
A04;20/05/2017;0:23.134;RotakeR;0
A04;??/??/????;0:23.106;RACETA;0
A04;19/04/2019;0:23.100;DanikB;0
A04;25/04/2019;0:23.098;RACETA;0
A04;12/06/2019;0:23.088;DanikB;0
A04;19/06/2022;0:23.076;ZedroX;0
A04;13/09/2022;0:23.075;MiThyX;0
A04;27/09/2022;0:23.072;MiThyX;0
A04;03/10/2022;0:23.063;MiThyX;0
A04;19/11/2022;0:23.061;MiThyX;0
A05;15/07/2013;0:51.935;riolu;0
A05;29/07/2013;0:51.904;racehans;0
A05;08/09/2013;0:51.861;riolu;0
A05;17/05/2017;0:51.722;racehans;0
A05;??/??/????;0:51.640;riolu;0
A05;20/08/2018;0:51.631;Rollin;0
A05;28/08/2018;0:51.618;riolu;0
A05;01/03/2019;0:51.607;Aziix;0
A05;12/03/2019;0:51.580;RotakeR;0
A05;13/03/2019;0:51.563;RotakeR;0
A05;13/03/2019;0:51.545;RotakeR;0
A05;14/03/2019;0:51.541;RotakeR;0
A05;08/11/2019;0:51.525;Aziix;0
A05;28/01/2020;0:51.488;RotakeR;0
A05;12/05/2024;0:51.478;Loupphok;0
A06;11/03/2013;0:27.378;riolu;0
A06;24/06/2013;0:27.348;CarlJr;0
A06;27/06/2013;0:27.290;CarlJr;0
A06;03/09/2013;0:27.277;7Alvin;0
A06;29/09/2013;0:27.271;RACETA;0
A06;08/10/2013;0:27.231;RACETA;0
A06;??/??/????;0:27.218;RACETA;0
A06;15/04/2018;0:27.215;Scrapie;0
A06;??/??/2018;0:27.187;RACETA;0
A06;10/11/2018;0:27.170;Kripke;0
A06;06/12/2018;0:27.165;RACETA;0
A06;05/05/2019;0:27.158;Kripke;0
A06;10/05/2019;0:27.153;RACETA;0
A06;03/09/2019;0:27.137;eprotizuu;0
A06;09/08/2021;0:27.136;MiThyX;0
A06;28/08/2021;0:27.118;RACETA;0
A06;27/09/2021;0:27.113;MiThyX;0
A06;27/09/2021;0:27.100;MiThyX;0
A07;10/03/2013;0:22.948;riolu;0
A07;10/07/2013;0:22.936;JaV;0
A07;12/07/2013;0:22.888;J & B;0
A07;22/07/2013;0:22.858;RACETA;0
A07;29/07/2013;0:22.798;racehans;0
A07;03/02/2014;0:22.758;riolu;0
A07;??/??/????;0:22.786;racehans;0
A07;20/01/2018;0:22.745;LAMArtifice;0
A07;20/04/2018;0:22.717;RACETA;0
A07;03/05/2018;0:22.714;LAMArtifice;0
A07;04/05/2018;0:22.680;RACETA;0
A07;15/05/2018;0:22.674;LAMArtifice;0
A07;26/05/2018;0:22.670;RACETA;0
A07;07/06/2018;0:22.648;RACETA;0
A07;29/09/2018;0:22.646;LAMArtifice;0
A07;30/09/2018;0:22.633;RACETA;0
A07;27/04/2019;0:22.591;LAMArtifice;0
A07;09/08/2022;0:22.586;Loupphok;0
A08;16/07/2013;0:14.717;mt17;0
A08;??/??/????;0:14.704;racehans;0
A08;30/10/2014;0:14.685;Ancaqar;0
A08;12/01/2017;0:14.676;Ancaqar;0
A08;23/05/2017;0:14.626;RotakeR;0
A08;08/06/2017;0:14.606;Danio;0
A08;30/06/2017;0:14.595;Labaffue;0
A08;06/04/2018;0:14.584;Kripke;0
A08;11/12/2018;0:14.552;Loupphok;0
A08;19/10/2019;0:14.526;Pieton;0
A08;06/05/2020;0:14.521;RACETA;0
A08;09/09/2022;0:14.515;Phip;0
A08;13/09/2022;0:14.508;Loupphok;0
A08;15/09/2022;0:14.491;Phip;0
A09;25/07/2013;0:24.740;CarlJr;0
A09;27/12/2014;0:24.692;riolu;0
A09;24/09/2015;0:24.681;Shock77;0
A09;03/10/2015;0:24.658;riolu;0
A09;??/??/????;0:24.63x;RACETA;0
A09;??/??/????;0:24.611;RACETA;0
A09;19/07/2018;0:24.598;Vulnerra;0
A09;20/07/2018;0:24.590;RACETA;0
A09;22/07/2018;0:24.562;Vulnerra;0
A09;27/07/2018;0:24.552;RACETA;0
A09;12/11/2018;0:24.542;Vulnerra;0
A09;14/12/2018;0:24.514;RACETA;0
A09;04/07/2019;0:24.511;RotakeR;0
A09;11/01/2020;0:24.503;riolu;1
A09;10/10/2021;0:24.502;Loupphok;0
A09;02/11/2021;0:24.485;RACETA;0
A09;16/05/2024;0:24.484;Sapi;0
A10;23/06/2013;1:06.188;Wally;0
A10;15/07/2013;1:05.918;Demon;0
A10;20/07/2013;1:05.866;Blizz;0
A10;29/07/2013;1:05.744;tween;0
A10;24/09/2013;1:05.344;KarjeN;0
A10;??/??/????;1:05.381;RACETA;0
A10;16/12/2018;1:05.301;DanikB;0
A10;22/12/2018;1:05.276;RACETA;0
A10;18/04/2019;1:05.236;DanikB;0
A10;14/01/2020;1:05.136;frvr;0
A10;27/08/2022;1:05.111;RACETA;0
A10;01/05/2023;1:05.063;n0body;0
A10;20/05/2024;1:05.061;Loupphok;0
A10;24/05/2024;1:05.058;Loupphok;0
A10;24/05/2024;1:05.038;Loupphok;0
A10;08/06/2024;1:05.031;Loupphok;0
A10;08/06/2024;1:04.961;Loupphok;0
A11;30/06/2013;0:26.768;CarlJr;0
A11;01/07/2013;0:26.638;riolu;1
A11;08/08/2017;0:26.608;riolu;0
A11;14/04/2018;0:26.528;riolu;1
A11;25/04/2018;0:26.523;Fire!;0
A11;09/06/2018;0:26.488;RACETA;0
A11;26/08/2018;0:26.442;RotakeR;0
A11;08/09/2018;0:26.432;eprotizuu;0
A11;??/??/????;0:26.361;riolu;0
A11;27/05/2019;0:26.355;riolu;1
A11;??/??/2019;0:26.325;eprotizuu;0
A11;23/11/2019;0:26.321;riolu;1
A11;30/03/2020;0:26.318;eprotizuu;0
A11;31/03/2020;0:26.301;eprotizuu;0
A11;07/03/2020;0:26.298;riolu;1
A11;17/05/2020;0:26.288;eprotizuu;0
A11;19/06/2020;0:26.266;riolu;1
A11;05/12/2021;0:26.274;instable;0
A11;19/07/2023;0:26.241;instable;0
A11;21/04/2024;0:26.237;instable;0
A11;24/04/2024;0:26.228;instable;0
A11;26/04/2024;0:26.211;instable;0
A12;05/03/2013;0:22.344;riolu;0
A12;??/06/2013;0:22.23x;Luffy;0
A12;29/06/2013;0:22.201;CarlJr;0
A12;20/08/2013;0:22.178;riolu;1
A12;19/06/2017;0:22.143;racehans;0
A12;25/08/2018;0:22.131;Kripke;0
A12;28/01/2019;0:22.115;Affi;0
A12;07/09/2019;0:22.104;eprotizuu;0
A12;25/12/2019;0:22.103;riolu;1
A12;12/11/2021;0:22.096;MiThyx;0
A12;02/06/2024;0:22.094;Loupphok;0
A13;19/07/2013;0:25.626;riolu;0
A13;20/08/2013;0:25.608;racehans;0
A13;22/08/2013;0:25.544;riolu;0
A13;??/05/2017;0:25.568;Kripke;0
A13;13/01/2018;0:25.545;Hefest;0
A13;05/11/2018;0:25.537;Hefest;0
A13;08/11/2018;0:25.523;riolu;0
A13;02/05/2019;0:25.514;Flechetas;0
A13;02/10/2019;0:25.496;Flechetas;0
A13;08/10/2019;0:25.490;Flechetas;0
A13;09/10/2019;0:25.474;Flechetas;0
A13;10/10/2019;0:25.473;Flechetas;0
A13;12/10/2019;0:25.468;Flechetas;0
A13;22/11/2019;0:25.455;riolu;1
A13;19/05/2021;0:25.452;Flechetas;0
A13;18/12/2021;0:25.448;ZedroX;0
A13;18/12/2021;0:25.444;ZedroX;0
A13;07/04/2024;0:25.443;Flechetas;0
A13;26/04/2024;0:25.426;Flechetas;0
A14;21/03/2013;0:20.282;riolu;0
A14;23/03/2013;0:20.163;KarjeN;0
A14;25/06/2013;0:20.127;LeoTM2;0
A14;25/06/2013;0:20.126;Blizz;0
A14;16/07/2013;0:20.108;CarlJr;0
A14;17/07/2013;0:20.078;J & B;0
A14;30/07/2013;0:20.074;riolu;0
A14;31/07/2013;0:20.056;Flyer;0
A14;26/12/2013;0:20.040;Demon;0
A14;12/01/2016;0:20.008;riolu;0
A14;11/06/2017;0:19.973;RotakeR;0
A14;??/??/????;0:19.964;RACETA;0
A14;18/07/2018;0:19.952;Trinity;0
A14;27/07/2018;0:19.951;RACETA;0
A14;13/07/2019;0:19.940;eprotizuu;0
A14;25/09/2019;0:19.913;Arcanos;0
A14;15/01/2020;0:19.905;riolu;1
A14;18/05/2022;0:19.910;ZedroX;0
A14;26/05/2022;0:19.898;ZedroX;0
A14;26/05/2022;0:19.894;ZedroX;0
A14;26/05/2022;0:19.884;ZedroX;0
A15;28/06/2013;1:12.798;RKO 90;0
A15;16/07/2013;1:12.617;Demon;0
A15;07/07/2015;1:12.587;RACETA;0
A15;30/08/2016;1:12.554;riolu;0
A15;31/08/2016;1:12.457;Pac;0
A15;10/06/2017;1:12.496;Pac;0
A15;15/07/2017;1:12.422;CarlJr;0
A15;28/12/2017;1:12.398;RACETA;0
A15;21/08/2018;1:12.305;Rollin;0
A15;??/??/????;1:12.241;Demon;0
A15;??/??/????;1:12.190;Rollin;0
A15;03/05/2019;1:12.173;riolu;0
A15;04/07/2019;1:12.154;Rollin;0
A15;06/07/2019;1:12.090;riolu;0
A15;08/07/2019;1:12.085;Rollin;0
A15;03/12/2022;1:12.068;Loupphok;0
B01;24/06/2013;0:34.890;Wally;0
B01;12/08/2013;0:34.854;racehans;0
B01;??/??/????;0:34.620;RACETA;0
B01;21/07/2015;0:34.608;Kevinstrike;0
B01;26/11/2015;0:34.561;Ancaqar;0
B01;07/10/2016;0:34.538;RACETA;0
B01;??/??/2017;0:34.868;CarlJr;0
