Player;20/06/2013;01/07/2013;10/07/2013;20/07/2013;01/08/2013;10/08/2013;20/08/2013;01/09/2013;10/09/2013;20/09/2013;01/10/2013;10/10/2013;20/10/2013;01/11/2013;10/11/2013;20/11/2013;01/12/2013;10/12/2013;20/12/2013;01/01/2014;10/01/2014;20/01/2014;01/02/2014;10/02/2014;20/02/2014;01/03/2014;10/03/2014;20/03/2014;01/04/2014;10/04/2014;20/04/2014;01/05/2014;10/05/2014;20/05/2014;01/06/2014;10/06/2014;20/06/2014;01/07/2014;10/07/2014;20/07/2014;01/08/2014;10/08/2014;20/08/2014;01/09/2014;10/09/2014;20/09/2014;01/10/2014;10/10/2014;20/10/2014;01/11/2014;10/11/2014;20/11/2014;01/12/2014;10/12/2014;20/12/2014;01/01/2015;10/01/2015;20/01/2015;01/02/2015;10/02/2015;20/02/2015;01/03/2015;10/03/2015;20/03/2015;01/04/2015;10/04/2015;20/04/2015;01/05/2015;10/05/2015;20/05/2015;01/06/2015;10/06/2015;20/06/2015;01/07/2015;10/07/2015;20/07/2015;01/08/2015;10/08/2015;20/08/2015;01/09/2015;10/09/2015;20/09/2015;01/10/2015;10/10/2015;20/10/2015;01/11/2015;10/11/2015;20/11/2015;01/12/2015;10/12/2015;20/12/2015;01/01/2016;10/01/2016;20/01/2016;01/02/2016;10/02/2016;20/02/2016;01/03/2016;10/03/2016;20/03/2016;01/04/2016;10/04/2016;20/04/2016;01/05/2016;10/05/2016;20/05/2016;01/06/2016;10/06/2016;20/06/2016;01/07/2016;10/07/2016;20/07/2016;01/08/2016;10/08/2016;20/08/2016;01/09/2016;10/09/2016;20/09/2016;01/10/2016;10/10/2016;20/10/2016;01/11/2016;10/11/2016;20/11/2016;01/12/2016;10/12/2016;20/12/2016;01/01/2017;10/01/2017;20/01/2017;01/02/2017;10/02/2017;20/02/2017;01/03/2017;10/03/2017;20/03/2017;01/04/2017;10/04/2017;20/04/2017;01/05/2017;10/05/2017;20/05/2017;01/06/2017;10/06/2017;20/06/2017;01/07/2017;10/07/2017;20/07/2017;01/08/2017;10/08/2017;20/08/2017;01/09/2017;10/09/2017;20/09/2017;01/10/2017;10/10/2017;20/10/2017;01/11/2017;10/11/2017;20/11/2017;01/12/2017;10/12/2017;20/12/2017;01/01/2018;10/01/2018;20/01/2018;01/02/2018;10/02/2018;20/02/2018;01/03/2018;10/03/2018;20/03/2018;01/04/2018;10/04/2018;20/04/2018;01/05/2018;10/05/2018;20/05/2018;01/06/2018;10/06/2018;20/06/2018;01/07/2018;10/07/2018;20/07/2018;01/08/2018;10/08/2018;20/08/2018;01/09/2018;10/09/2018;20/09/2018;01/10/2018;10/10/2018;20/10/2018;01/11/2018;10/11/2018;20/11/2018;01/12/2018;10/12/2018;20/12/2018;01/01/2019;10/01/2019;20/01/2019;01/02/2019;10/02/2019;20/02/2019;01/03/2019;10/03/2019;20/03/2019;01/04/2019;10/04/2019;20/04/2019;01/05/2019;10/05/2019;20/05/2019;01/06/2019;10/06/2019;20/06/2019;01/07/2019;10/07/2019;20/07/2019;01/08/2019;10/08/2019;20/08/2019;01/09/2019;10/09/2019;20/09/2019;01/10/2019;10/10/2019;20/10/2019;01/11/2019;10/11/2019;20/11/2019;01/12/2019;10/12/2019;20/12/2019;01/01/2020;10/01/2020;20/01/2020;01/02/2020;10/02/2020;20/02/2020;01/03/2020;10/03/2020;20/03/2020;01/04/2020;10/04/2020;20/04/2020;01/05/2020;10/05/2020;20/05/2020;01/06/2020;10/06/2020;20/06/2020;01/07/2020;10/07/2020;20/07/2020;01/08/2020;10/08/2020;20/08/2020;01/09/2020;10/09/2020;20/09/2020;01/10/2020;10/10/2020;20/10/2020;01/11/2020;10/11/2020;20/11/2020;01/12/2020;10/12/2020;20/12/2020;01/01/2021;10/01/2021;20/01/2021;01/02/2021;10/02/2021;20/02/2021;01/03/2021;10/03/2021;20/03/2021;01/04/2021;10/04/2021;20/04/2021;01/05/2021;10/05/2021;20/05/2021;01/06/2021;10/06/2021;20/06/2021;01/07/2021;10/07/2021;20/07/2021;01/08/2021;10/08/2021;20/08/2021;01/09/2021;10/09/2021;20/09/2021;01/10/2021;10/10/2021;20/10/2021;01/11/2021;10/11/2021;20/11/2021;01/12/2021;10/12/2021;20/12/2021;01/01/2022;10/01/2022;20/01/2022;01/02/2022;10/02/2022;20/02/2022;01/03/2022;10/03/2022;20/03/2022;01/04/2022;10/04/2022;20/04/2022;01/05/2022;10/05/2022;20/05/2022;01/06/2022;10/06/2022;20/06/2022;01/07/2022;10/07/2022;20/07/2022;01/08/2022;10/08/2022;20/08/2022;01/09/2022;10/09/2022;20/09/2022;01/10/2022;10/10/2022;20/10/2022;01/11/2022;10/11/2022;20/11/2022;01/12/2022;10/12/2022;20/12/2022;01/01/2023;10/01/2023;20/01/2023;01/02/2023;10/02/2023;20/02/2023;01/03/2023;10/03/2023;20/03/2023;01/04/2023;10/04/2023;20/04/2023;01/05/2023;10/05/2023;20/05/2023;01/06/2023;10/06/2023;20/06/2023;01/07/2023;10/07/2023;20/07/2023;01/08/2023;10/08/2023;20/08/2023;01/09/2023;10/09/2023;20/09/2023;01/10/2023;10/10/2023;20/10/2023;01/11/2023;10/11/2023;20/11/2023;01/12/2023;10/12/2023;20/12/2023;01/01/2024;10/01/2024;20/01/2024;01/02/2024;10/02/2024;20/02/2024;01/03/2024;10/03/2024;20/03/2024;01/04/2024;10/04/2024;20/04/2024;01/05/2024;10/05/2024;20/05/2024;01/06/2024;10/06/2024;20/06/2024;01/07/2024;10/07/2024;20/07/2024;20/07/2024
Guillaume;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACETA;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;6;6;6;6;6;6;7;7;7;7;6;6;7;9;7;9;13;14;14;12;11;15;15;15;14;14;13;13;13;13;13;13;11;10;10;10;11;11;11;11;11;10;10;11;11;11;11;8;9;8;10;9;9;7;6;5;4;4;4;4;3;2;2;2;2;2;2;2;4;6;6;7;10;12;13;13;13;13;13;13;12;12;12;12;11;11;10;9;9;10;10;10;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;8;8;8;7;8;8;8;8;8;8;8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;7;6;6;7;8;8;8;8;7;7;7;7;7;7;7;7;7;8;9;9;10;12;11;11;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;8;8;8;7;7;7;7;7
Kripke;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;3;4;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;7;7;7;6;5;4;4;4;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
riolu;0;1;2;4;3;5;4;6;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;9;9;8;8;8;8;8;8;8;9;9;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;11;12;13;12;14;14;14;14;14;14;14;14;14;14;15;16;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;18;16;14;13;10;10;10;7;7;6;6;7;7;7;7;7;7;6;6;5;5;5;5;6;7;7;7;7;7;7;7;7;6;6;6;4;4;4;4;4;3;3;4;4;3;2;2;2;2;2;2;2;5;5;6;6;6;6;4;3;3;4;4;4;4;4;3;3;3;3;4;6;8;12;13;13;14;15;13;13;12;11;11;10;10;11;10;10;9;8;8;7;9;9;9;10;10;12;12;11;11;10;11;11;10;10;10;10;8;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;7;6;6;6;5;5;5;5;5;5;5;5;5;5;5;4;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bluts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4
Loupphok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;3;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;7;8;8;8;8;8;7;7;7;8;9;9;9;9;10;11;9;9;9;9;9;9;9;9;9;10;10;11;11;11;11;11;11;11;12;12;13;13;13;14;13;13;13;11;11;11;11;11;13;13;13;13;13;13;13;14;14;14;13;13;13;12;12;12;12;11;10;11;11;10;10;10;11;11;11;12;12;12;12;14;14;13;13;13;14;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;18;19;21;22;24;24;24;24;24
Blizz;0;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
racehans;0;0;0;0;3;4;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;6;5;6;6;6;9;10;10;9;12;12;12;12;10;10;10;10;10;11;11;11;11;10;10;8;8;8;8;8;8;7;6;5;4;4;4;4;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Demon;0;0;0;3;2;2;2;2;2;2;4;5;6;8;8;8;8;7;7;10;12;12;11;11;11;11;11;11;11;11;11;11;12;14;14;16;16;16;16;16;15;15;15;14;13;13;13;13;12;12;12;12;12;12;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
RotakeR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;6;7;7;7;7;7;6;5;5;6;6;6;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;3;3;3;4;5;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;5;5;6;6;6;6;6;6;5;5;5;5;5;5;4;3;3;3;3;3;3;2;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
