player;track;time;date;info;enviro;game;rank;gameid
Kazey77;001;32.37x;20/03/2016;.;Canyon;TMT;1;a
Luffy;001;32.270;24/03/2016;.;Canyon;TMT;2;a
Advision;001;32.230;25/03/2016;STM;Canyon;TMT;3;a
CarlJr;001;32.223;26/03/2016;.;Canyon;TMT;4;a
riolu;001;32.208;26/03/2016;.;Canyon;TMT;5;a
riolu;001;32.206;26/03/2016;Cheated;Canyon;TMT;6;a
marios2000;001;32.146;01/04/2016;.;Canyon;TMT;7;a
riolu;001;32.142;03/06/2016;.;Canyon;TMT;8;a
Jerome;001;32.126;10/08/2016;.;Canyon;TMT;9;a
riolu;001;32.088;31/08/2016;.;Canyon;TMT;10;a
Cloud;001;32.087;03/01/2021;DUCK;Canyon;TMT;11;a
Mebe12;001;32.085;20/07/2021;.;Canyon;TMT;12;a
Fanakuri;001;32.077;29/09/2021;.;Canyon;TMT;13;a
Fanakuri;001;32.074;30/09/2021;.;Canyon;TMT;14;a
Fanakuri;001;32.072;30/09/2021;.;Canyon;TMT;15;a
Fanakuri;001;32.070;01/10/2021;.;Canyon;TMT;16;a
Fanakuri;001;32.046;01/10/2021;.;Canyon;TMT;17;a
hec_ker;002;35.030;24/03/2016;.;Canyon;TMT;1;a
maysen;002;35.028;25/03/2016;.;Canyon;TMT;2;a
Sky;002;35.013;25/03/2016;.;Canyon;TMT;3;a
Alewka;002;35.012;26/03/2016;.;Canyon;TMT;4;a
riolu;002;34.868;26/03/2016;STM;Canyon;TMT;5;a
riolu;002;34.846;31/03/2016;.;Canyon;TMT;6;a
Zypher;002;34.843;24/05/2016;.;Canyon;TMT;7;a
riolu;002;34.841;31/05/2016;.;Canyon;TMT;8;a
riolu;002;34.836;31/05/2016;.;Canyon;TMT;9;a
Zypher;002;34.818;04/06/2016;.;Canyon;TMT;10;a
riolu;002;34.806;04/06/2016;.;Canyon;TMT;11;a
riolu;002;34.79x;??/??/????;.;Canyon;TMT;12;a
riolu;002;34.773;01/09/2018;.;Canyon;TMT;13;a
Mebe12;002;34.794;03/01/2021;.;Canyon;TMT;14;a
Mebe12;002;34.773;03/01/2021;DUCK;Canyon;TMT;15;a
Mebe12;002;34.764;03/01/2021;.;Canyon;TMT;16;a
Fanakuri;002;34.761;07/10/2021;.;Canyon;TMT;17;a
Mebe12;002;34.756;08/10/2021;.;Canyon;TMT;18;a
Mebe12;002;34.755;08/10/2021;.;Canyon;TMT;19;a
Fanakuri;002;34.753;11/10/2021;.;Canyon;TMT;20;a
Fanakuri;002;34.748;11/10/2021;.;Canyon;TMT;21;a
Mebe12;002;34.743;15/02/2022;.;Canyon;TMT;22;a
Fanakuri;002;34.741;28/02/2022;.;Canyon;TMT;23;a
Fanakuri;002;34.738;01/03/2022;.;Canyon;TMT;24;a
Mebe12;002;34.728;01/03/2022;.;Canyon;TMT;25;a
Fanakuri;002;34.726;17/03/2022;.;Canyon;TMT;26;a
